Incident Number,Cause number,bsee_source_field
WD-27-20071217-0200,1,18
WD-27-20071217-0200,2,18
SP-38-20071229-1550,1,18
SP-38-20071229-1550,2,19
SS-118-20071230-0844,1,18
SS-118-20071230-0844,2,18
SS-118-20071230-0844,3,19
SS-118-20071230-0844,4,19
SS-118-20071230-0844,5,19
ST-23-20240708-1908,1,18
ST-23-20240708-1908,2,18
ST-23-20240708-1908,3,19
ST-23-20240708-1908,4,19
LA-6659-20050108-1345,1,18
LA-6659-20050108-1345,2,19
SM-6635-20120908,1,19
MC-696-20080104-1115,1,18
EC-220-20080106-0745,1,18
EC-220-20080106-0745,2,18
EC-220-20080106-0745,3,18
EC-220-20080106-0745,4,18
EC-220-20080106-0745,5,18
EC-220-20080106-0745,6,19
EC-220-20080106-0745,7,19
EC-220-20080106-0745,8,19
EC-220-20080106-0745,9,19
EC-220-20080106-0745,10,19
EC-220-20080106-0745,11,19
EC-220-20080106-0745,12,19
GI-47-20080109-0930,1,18
MC-522-20080111-1921,1,18
EC-286-20080117-0845,1,18
EC-286-20080117-0845,2,19
SM-236-20080118-0500,1,18
SM-236-20080118-0500,2,19
GC-652-20080128-1300,1,18
GC-652-20080128-1300,2,19
VR-287-20080202-1545,1,18
VR-287-20080202-1545,2,19
SP-49-20080205-1920,1,18
SS-209-20080209-1515,1,18
SS-209-20080209-1515,2,19
GI-32-20080213-2000,1,18
ST-168-20080220-0915,1,18
ST-168-20080220-0915,2,18
ST-168-20080220-0915,3,18
ST-168-20080220-0915,4,19
ST-168-20080220-0915,5,19
ST-168-20080220-0915,6,19
ST-168-20080220-0915,7,19
ST-168-20080220-0915,8,19
MC-522-20080221-1210,1,18
MC-522-20080221-1210,2,18
GB-667-20080226-1900,1,18
GB-667-20080226-1900,2,19
EI-43-20080301-0310,1,18
EI-43-20080301-0310,2,19
MC-727-20080306-1130,1,18
MC-727-20080306-1130,2,19
SM-107-20080308-0815,1,18
SM-107-20080308-0815,2,19
GC-65-20080312-0750,1,18
GC-65-20080312-0750,2,19
EI-261-20050225-1043-374b5518,1,18
EI-261-20050225-1043-374b5518,2,19
EC-346-20080320-1100,1,18
EC-346-20080320-1100,2,18
EC-346-20080320-1100,3,18
EC-346-20080320-1100,4,19
EC-346-20080320-1100,5,19
WD-143-20080321-1105,1,18
WD-143-20080321-1105,2,19
GC-158-20080326-0520,1,18
GC-158-20080326-0520,2,19
VK-900-20080327-1400,1,18
PL-23-20080403-1630,1,18
EI-63-20080405-0725,1,18
EI-63-20080405-0725,2,19
GB-876-20080408-1000,1,18
GB-876-20080408-1000,2,19
WD-94-20080412-1230,1,18
VR-318-20080413-0730,1,18
VR-318-20080413-0730,2,19
VR-318-20080413-0730,3,19
VR-318-20080413-0730,4,19
SS-269-20080415-1500,1,18
SS-269-20080415-1500,2,18
SS-269-20080415-1500,3,18
SS-269-20080415-1500,4,18
SS-269-20080415-1500,5,19
GI-47-20080418-0255,1,18
MP-175-20080422-1430,1,18
WD-109-20080425-0300,1,18
WR-678-20080427-0800,1,18
WR-678-20080427-0800,2,19
GC-158-20080427-0300,1,18
GC-158-20080427-0300,2,19
MC-775-20080501-0800,1,18
MC-775-20080501-0800,2,19
EI-342-20080506-2230,1,18
EI-342-20080506-2230,2,19
WD-96-20080507-0705,1,18
GI-39-20080507-1830,1,18
GI-39-20080507-1830,2,18
MC-243-20080507-0800,1,18
WD-40-20080511-2250,1,18
MC-778-20080522-0415,1,18
GB-128-20080522-1535,1,18
GB-128-20080522-1535,2,19
VK-900-20080523-0200,1,18
MC-773-20080524-1400,1,18
MP-310-20080526-1045,1,18
MC-948-20080526-1730,1,18
MC-948-20080526-1730,2,18
MC-948-20080526-1730,3,18
MC-948-20080526-1730,4,18
VR-380-20080526-1815,1,18
VR-380-20080526-1815,2,19
VR-380-20080526-1815,3,19
VR-380-20080526-1815,4,19
VR-380-20080526-1815,5,19
EI-327-20080530-1400,1,18
EI-327-20080530-1400,2,19
GI-41-20080605-1015,1,18
MC-809-20080606-1000,1,18
EI-56-20080610-2245,1,18
